+7.74496e-32	+4.90361e-28
+7.74496e-32	+9.29205e-28
+7.74496e-32	+4.52616e-27
+7.74496e-32	+5.31360e-27
+7.74496e-32	+6.98207e-27
+7.74496e-32	+5.74409e-27
+7.74496e-32	+5.47351e-27
+7.74496e-32	+1.23472e-26
+7.74496e-32	+2.50426e-26
+7.74496e-32	+3.29392e-26
+7.74496e-32	+2.32767e-26
+7.74496e-32	+2.16898e-26
+7.74496e-32	+2.11494e-26
+7.74496e-32	+2.66513e-26
+7.74496e-32	+2.90767e-26
+7.74496e-32	+1.86736e-26
+7.74496e-32	+3.25265e-26
+7.74496e-32	+4.08922e-26
+7.74496e-32	+3.42432e-26
+7.74496e-32	+4.79582e-26
+7.74496e-32	+5.57683e-26
+7.74496e-32	+6.12926e-26
+7.74496e-32	+3.92102e-26
+7.74496e-32	+4.08667e-26
+7.74496e-32	+4.84784e-26
+7.74496e-32	+5.65941e-26
+7.74496e-32	+3.44184e-26
+7.74496e-32	+4.87503e-26
+7.74496e-32	+6.05508e-26
+7.74496e-32	+8.20278e-26
+7.74496e-32	+1.00634e-25
+7.74496e-32	+1.04970e-25
+7.74496e-32	+9.74020e-26
+7.74496e-32	+8.32713e-26
+7.74496e-32	+8.04342e-26
+7.74496e-32	+5.97126e-26
+7.74496e-32	+5.57272e-26
+7.74496e-32	+6.89979e-26
+7.74496e-32	+6.60059e-26
+7.74496e-32	+4.95688e-26
+7.74496e-32	+5.83871e-26
+7.74496e-32	+6.57335e-26
+7.74496e-32	+8.05254e-26
+7.74496e-32	+8.96963e-26
+7.74496e-32	+8.31562e-26
+7.74496e-32	+8.17266e-26
+7.74496e-32	+8.70275e-26
+7.74496e-32	+6.69378e-26
+7.74496e-32	+6.66488e-26
+7.74496e-32	+8.75875e-26
+7.74496e-32	+7.70706e-26
+7.74496e-32	+9.24998e-26
+7.74496e-32	+1.17602e-25
+7.74496e-32	+1.35233e-25
+7.74496e-32	+1.25872e-25
+7.74496e-32	+1.51055e-25
+7.74496e-32	+1.38770e-25
+7.74496e-32	+1.24128e-25
+7.74496e-32	+1.18680e-25
+7.74496e-32	+1.19974e-25
+7.74496e-32	+1.50130e-25
+7.74496e-32	+1.64189e-25
+7.74496e-32	+1.69927e-25
+7.74496e-32	+1.89371e-25
+7.74496e-32	+1.58579e-25
+7.74496e-32	+1.40159e-25
+7.74496e-32	+1.37585e-25
+7.74496e-32	+1.35313e-25
+7.74496e-32	+1.34913e-25
+7.74496e-32	+1.55987e-25
+7.74496e-32	+1.29831e-25
+7.74496e-32	+1.04811e-25
+7.74496e-32	+8.83547e-26
+7.74496e-32	+1.08780e-25
